id,area,area_sqft,lot_size_sqft,bedrooms,bathrooms,stories,parking_spaces,house_age_years,distance_to_city_km,school_quality_index,crime_index,price
89,NorthNazimabad,1482,4736,3,2,3,0,6,1.95,,4.82,440192
90,NorthNazimabad,2108,6641,5,5,3,0,12,5.25,,8.91,563818
91,NayaNazimabad,1858,3021,3,3,3,1,3,0.33,6.59,10.0,417093
92,Clifton,2381,6716,4,4,1,1,2,19.09,5.25,6.07,543397
93,Clifton,1379,3638,2,2,3,0,2,9.14,3.03,7.51,411837
94,NorthNazimabad,1603,2825,2,2,2,0,12,19.38,4.83,4.35,337696
95,PECHS,1565,4167,2,1,1,0,80,4.0,,5.28,290097
96,NorthNazimabad,922,1253,3,2,2,1,10,37.76,8.21,1.0,300356
97,FB Area,1978,3706,2,1,1,1,33,0.2,,8.2,234905
98,PECHS,1957,6456,4,4,1,1,38,14.12,7.92,,582221
99,FB Area,1803,3406,2,1,1,0,14,1.79,9.04,7.51,296960
100,FB Area,1659,3469,4,3,2,1,19,0.4,,4.01,356771
101,FB Area,951,2804,1,1,2,4,53,10.42,4.58,3.57,174820
102,NayaNazimabad,1548,2784,2,1,2,1,35,8.81,,2.11,375268
103,FB Area,1594,4129,4,3,1,1,11,41.65,4.77,,269905
104,Clifton,1319,2793,3,2,2,0,19,4.17,5.81,5.48,475547
105,PECHS,1703,3658,3,3,3,2,43,6.19,4.77,4.59,394296
106,NayaNazimabad,2042,3770,4,3,3,1,8,10.12,5.9,,500963
107,NayaNazimabad,2932,7934,4,3,3,0,2,0.2,7.28,3.22,742447
108,FB Area,1905,3780,4,4,3,2,8,7.0,9.25,2.24,371991
109,NorthNazimabad,1955,5072,3,3,2,0,20,5.77,6.95,3.26,492970
110,NorthNazimabad,1755,6050,3,1,2,1,29,13.22,3.8,4.16,457672
111,Clifton,649,1356,1,1,3,1,55,22.35,,7.67,81446
112,PECHS,1784,3827,2,1,2,1,8,1.57,3.69,5.26,396425
113,FB Area,1836,3033,3,2,2,1,12,11.05,4.56,5.71,308350
114,PECHS,3278,5745,5,4,3,1,35,3.27,4.98,5.16,740065
115,Clifton,1685,2590,2,1,1,0,25,2.05,8.72,,401882
116,NorthNazimabad,1981,3379,3,3,2,1,28,8.82,6.51,2.23,470740
117,PECHS,1779,3277,3,2,3,1,1,5.27,,4.7,418427
118,FB Area,1099,3696,2,1,1,0,8,1.57,,3.3,204868
119,FB Area,2486,6834,2,1,1,1,29,1.54,4.37,4.48,380994
120,PECHS,2251,5257,4,3,3,1,7,8.75,,2.57,509412
121,PECHS,2275,2786,3,2,2,0,7,5.02,4.71,7.5,478177
122,NorthNazimabad,1254,2675,3,3,2,2,3,11.17,3.38,5.82,414080
123,NorthNazimabad,2642,7718,4,3,2,0,57,1.23,5.54,1.28,765237
124,PECHS,959,3166,1,1,3,2,30,23.78,6.65,3.77,235497
125,PECHS,2152,5582,3,2,1,0,53,0.2,5.95,8.11,466449
126,PECHS,3114,5054,5,4,3,1,69,24.99,6.57,4.39,582191
127,NayaNazimabad,1206,1766,3,2,3,3,7,1.04,5.4,,395301
128,PECHS,1460,2035,2,2,2,0,14,5.59,,,340962
129,PECHS,1860,6224,3,3,1,2,6,7.29,5.96,3.66,517397
130,NorthNazimabad,1498,5129,4,3,2,0,13,4.24,5.82,5.15,394102
131,PECHS,870,2942,1,1,1,1,57,4.97,7.92,3.51,178693
132,PECHS,1841,2881,3,2,1,0,7,2.65,,3.8,440966
133,NorthNazimabad,1163,2983,1,1,2,0,13,7.18,6.5,7.19,233536
134,FB Area,2084,2860,2,1,3,1,4,10.17,7.71,2.75,350663
135,PECHS,1248,2902,1,1,3,1,27,1.1,7.81,,227924
136,NayaNazimabad,2730,7922,4,3,2,0,4,18.57,,5.81,662724
137,Clifton,1330,2760,3,2,2,2,10,11.56,,6.11,387577
138,PECHS,1607,3647,3,2,2,0,3,0.34,7.48,3.92,433293
139,PECHS,2288,6507,2,2,3,3,33,0.76,8.58,7.91,550482
140,FB Area,1061,1742,1,1,1,1,4,2.75,,6.47,177865
141,PECHS,1936,5663,4,2,3,0,40,11.19,7.27,4.54,393104
142,PECHS,2584,4203,4,3,2,1,43,7.52,8.95,3.42,605566
143,NorthNazimabad,836,1125,2,1,3,0,11,4.65,5.77,4.45,213029
144,FB Area,1911,3495,4,3,3,0,45,4.04,3.99,3.58,279725
145,FB Area,1956,5562,3,3,1,1,15,8.68,4.87,5.34,359999
146,FB Area,2269,7617,4,3,3,0,59,2.57,7.4,3.36,377543
147,PECHS,1058,1819,2,1,1,0,21,4.97,7.97,6.54,232114
148,FB Area,1008,3407,1,1,3,2,7,,8.03,2.48,181754
149,NorthNazimabad,2113,7179,4,3,3,1,6,15.75,6.08,4.97,478080
150,NorthNazimabad,1978,3485,4,3,2,0,5,7.15,9.3,,627258
151,NorthNazimabad,1950,5332,4,3,3,0,6,16.92,6.92,7.04,517038
152,NorthNazimabad,2008,4281,4,3,1,0,20,11.57,6.89,6.01,460663
153,NorthNazimabad,1392,1723,2,1,2,2,14,19.07,,5.15,374414
154,Clifton,1939,4410,4,4,2,0,1,5.37,,2.72,477704
155,Clifton,1976,5061,3,2,3,1,11,0.24,7.52,6.52,569259
156,FB Area,1371,1674,4,2,2,0,80,14.27,4.37,3.9,208189
157,PECHS,2919,8249,4,4,2,1,80,6.08,7.18,7.17,617018
158,NayaNazimabad,2084,3678,3,2,2,1,43,0.35,10.0,5.07,504464
159,NorthNazimabad,1085,2454,1,1,2,2,64,0.2,,4.89,313094
160,FB Area,2194,4355,4,3,2,2,23,1.96,6.39,,408789
161,NorthNazimabad,1215,1740,1,1,3,1,80,3.28,,2.99,294038
162,PECHS,2272,7575,5,5,3,1,17,5.77,,6.83,487159
163,NorthNazimabad,2495,6497,5,4,2,1,7,6.39,3.39,3.27,630579
164,PECHS,1308,4548,2,2,3,1,52,14.42,3.56,5.08,189209
165,PECHS,2378,6460,3,3,1,0,1,2.36,6.14,,556855
166,NorthNazimabad,2048,6690,2,1,1,1,12,4.29,,4.25,417286
167,FB Area,2293,3404,3,2,1,0,6,0.38,6.38,5.05,375063
168,PECHS,2938,10009,5,4,2,0,21,,4.4,4.75,662798
169,Clifton,1653,2292,2,1,2,3,6,13.61,9.19,7.6,488526
170,PECHS,1348,4401,4,3,1,2,1,1.01,8.19,5.37,375466
171,PECHS,1266,3114,3,3,3,1,20,6.69,,3.83,308079
172,NorthNazimabad,1311,2731,2,1,1,0,2,6.88,7.15,,335349
173,Clifton,1754,4471,3,3,1,0,0,2.02,,1.9,609522
174,NorthNazimabad,2005,4504,3,2,3,2,29,2.11,,6.09,557612
175,PECHS,1966,3578,4,3,1,2,5,0.52,,4.14,531158
176,FB Area,2296,3809,3,2,1,2,2,10.95,,3.34,389281
177,NorthNazimabad,1808,2739,4,3,2,0,5,12.84,7.19,2.69,485905
178,PECHS,2672,7103,4,3,3,0,10,2.24,6.44,6.15,667380
179,NorthNazimabad,1641,4997,3,2,2,0,3,18.51,8.23,9.74,474195
180,PECHS,3432,7992,5,4,3,1,13,16.42,7.41,6.89,700077
181,PECHS,2175,6157,3,2,2,1,1,13.25,6.84,7.45,422839
182,Clifton,1286,2796,2,1,1,0,65,2.7,8.27,8.86,256485
183,FB Area,1157,3686,1,1,2,3,27,9.03,9.54,1.52,219509
184,NorthNazimabad,2089,4062,4,4,2,0,13,8.05,5.42,5.58,534014
185,NorthNazimabad,1666,3062,2,1,2,1,33,1.29,6.02,2.16,353154
186,PECHS,2228,4553,3,3,3,0,3,12.72,3.15,8.83,456360
187,NorthNazimabad,2084,4557,4,4,1,0,3,8.65,,,614322
188,FB Area,1756,2519,4,4,1,1,10,1.19,5.87,5.49,271074
189,PECHS,1292,3387,3,2,3,2,69,12.55,,,251255
190,NorthNazimabad,891,2735,1,1,1,2,0,8.02,,6.22,283930
191,PECHS,1532,3371,3,3,2,1,3,0.93,5.42,5.6,355268
192,PECHS,2314,7507,4,3,1,0,31,1.7,5.57,3.83,578084
193,NayaNazimabad,1928,5404,3,3,2,1,10,4.21,7.74,6.31,429703
194,FB Area,1053,2434,2,1,1,2,3,25.12,10.0,2.47,247579
195,PECHS,1904,3831,3,3,3,1,43,8.24,7.32,4.28,335161
196,FB Area,2031,5796,3,2,1,1,29,12.61,5.77,7.73,338810
197,FB Area,1270,3871,4,4,2,1,14,5.54,6.76,4.61,252382
198,NorthNazimabad,1892,2280,3,2,1,0,80,7.48,8.2,3.3,532357
199,PECHS,1835,3646,3,2,2,1,24,1.75,,8.76,369443
200,NayaNazimabad,1114,2118,2,2,3,0,17,,10.0,7.63,315818
201,FB Area,2015,4248,3,1,3,0,1,6.06,,6.55,406775
202,NorthNazimabad,2136,3028,3,2,3,1,34,2.6,,,516443
203,NayaNazimabad,2450,6838,3,2,1,1,10,11.64,5.74,4.12,501909
204,PECHS,2432,4586,4,3,3,1,1,5.18,7.32,5.61,494495
205,PECHS,973,1258,1,1,1,0,1,8.67,8.12,5.88,260595
206,PECHS,1237,4238,1,1,1,1,26,0.68,,6.37,324226
207,NorthNazimabad,2109,7009,5,4,1,0,11,2.51,4.59,6.7,662292
208,PECHS,2108,6163,4,3,2,0,6,2.36,9.4,8.11,467246
209,NorthNazimabad,2109,6061,5,4,3,1,1,2.21,9.68,1.0,623018
210,PECHS,4112,7485,5,4,2,0,35,4.26,,6.32,682725
211,NorthNazimabad,2143,6158,5,5,3,0,3,9.6,8.24,1.0,716685
212,PECHS,2481,8480,4,2,1,1,39,8.44,,5.29,541382
213,NorthNazimabad,2372,7058,5,4,2,1,4,2.74,8.4,4.71,720585
214,NayaNazimabad,2191,4333,4,3,3,2,24,5.98,,,500579
215,PECHS,1611,4687,3,3,1,2,80,0.47,7.12,6.44,272079
216,FB Area,2255,3739,4,3,1,1,4,3.84,8.11,6.39,391825
217,PECHS,1336,4479,2,1,1,2,41,9.69,8.56,4.55,352613
218,FB Area,1658,4496,2,1,1,1,35,2.35,5.82,7.79,277708
219,PECHS,1509,1893,2,2,1,1,16,7.89,4.63,,313727
220,FB Area,1849,3216,2,1,1,2,2,8.1,,3.61,355568
221,NorthNazimabad,3189,6944,5,4,2,0,17,3.52,5.63,7.59,780912
222,PECHS,680,1011,1,1,2,0,2,4.23,,5.8,205911
223,FB Area,2212,6301,3,3,1,0,13,6.02,9.37,4.43,420154
224,NayaNazimabad,832,2792,2,1,1,1,19,0.74,6.78,5.06,282383
225,NorthNazimabad,1517,2002,3,2,2,0,36,3.9,,2.19,444609
226,FB Area,2453,6572,4,3,1,0,31,7.33,4.95,7.8,412121
227,Clifton,1839,2511,4,3,3,1,21,17.75,,,511381
228,PECHS,1153,2518,2,1,2,1,4,11.77,4.4,3.67,246063
229,PECHS,1371,3782,2,1,1,0,56,18.95,5.96,5.27,232871
230,Clifton,2208,3513,4,4,2,0,20,3.99,5.84,5.18,568609
231,PECHS,1362,4312,1,1,1,2,17,6.72,5.53,3.83,266905
232,FB Area,1930,2354,3,2,3,1,15,6.39,4.99,5.3,220998
233,NorthNazimabad,1827,5941,4,3,2,0,6,7.97,6.27,4.53,559095
234,FB Area,1409,3895,3,2,3,1,7,23.88,4.59,4.38,244844
235,PECHS,3086,6352,5,5,1,2,34,3.05,6.95,5.73,653689
236,PECHS,2180,4547,2,2,2,0,7,35.13,6.66,4.88,427870
237,NorthNazimabad,585,1114,1,1,2,0,0,25.02,,9.28,157803
238,FB Area,1912,4282,4,4,1,3,11,3.1,8.39,5.1,383347
239,PECHS,1403,1969,2,1,1,0,24,5.08,7.4,3.98,308704
240,NorthNazimabad,2311,7232,5,4,3,1,12,9.31,6.21,7.63,515989
241,NorthNazimabad,1324,2368,1,1,3,0,18,1.99,8.54,6.77,398661
242,PECHS,1731,5438,3,2,2,2,28,9.71,7.49,4.6,374864
243,NorthNazimabad,2103,6514,5,5,2,0,5,4.95,6.71,2.92,616104
244,NorthNazimabad,2319,4988,4,3,1,1,22,5.9,3.98,4.39,605689
245,FB Area,1080,2564,1,1,3,1,25,21.22,7.58,6.6,207827
246,Clifton,1599,4025,5,4,3,0,25,15.45,6.53,5.58,496297
247,PECHS,1515,2575,4,3,2,2,66,43.0,,5.63,316501
248,FB Area,1408,3788,2,1,1,0,16,0.2,4.52,3.42,278957
249,PECHS,2859,5738,5,4,3,2,12,3.74,,7.21,720310
250,PECHS,2043,3378,4,3,3,2,7,1.9,7.64,4.07,447119
251,PECHS,1043,2503,2,2,2,0,24,8.15,4.05,3.84,225273
252,PECHS,2351,5022,3,2,2,0,26,4.82,7.29,7.79,551653
253,NorthNazimabad,3073,7109,5,4,1,1,2,6.05,8.01,2.78,777471
254,NorthNazimabad,2419,8304,5,3,1,1,6,6.09,9.58,,709695
255,NorthNazimabad,888,2412,2,1,2,1,68,5.58,6.91,5.1,215838
256,PECHS,1509,4144,3,2,1,0,78,4.45,7.57,3.78,279992
257,NayaNazimabad,2560,3315,4,3,1,0,16,0.2,7.33,4.38,610271
258,PECHS,1375,4385,2,2,2,1,2,6.63,,3.73,313296
259,PECHS,2066,6804,2,1,3,0,26,32.73,,4.8,491422
260,PECHS,2265,3278,4,3,3,2,37,2.55,,3.22,474057
261,PECHS,1244,2308,2,2,2,1,3,8.83,,7.69,307426
262,Clifton,1764,5127,2,1,2,1,7,5.23,,4.4,429255
263,PECHS,400,573,1,1,1,0,10,,,4.81,129883
264,NorthNazimabad,1185,2818,2,2,3,1,34,7.02,6.44,,358647
265,PECHS,1648,3576,2,2,2,0,49,5.65,7.73,3.46,349855
266,Clifton,1051,2666,1,1,3,0,16,0.73,10.0,,349165
267,NorthNazimabad,2779,5747,4,3,3,1,50,14.94,7.46,6.69,691256
268,NorthNazimabad,942,1287,2,1,1,0,6,18.44,6.51,10.0,223496
269,PECHS,1536,2406,2,1,1,2,76,7.99,5.01,6.55,230556
270,PECHS,1878,4546,4,2,3,0,15,6.63,2.57,6.79,343324
271,PECHS,2665,6791,5,4,1,0,42,5.9,6.81,,560722
272,NayaNazimabad,938,2269,1,1,2,1,6,1.34,6.31,5.93,181584
273,NorthNazimabad,2498,4087,4,3,1,2,8,9.6,,8.22,627811
274,FB Area,1806,4498,3,2,3,0,14,3.08,,4.36,314700
275,PECHS,1211,2348,2,2,1,0,10,14.08,8.63,,279974
276,NorthNazimabad,2077,6729,5,5,2,0,15,1.67,6.37,7.38,545425
277,FB Area,1919,3225,3,2,1,0,11,24.66,5.52,4.05,298141
278,PECHS,1440,4303,3,1,1,1,41,7.33,6.13,6.64,269579
279,FB Area,1842,3118,3,2,2,4,39,5.2,7.92,,389948
280,FB Area,1569,4693,3,2,2,0,6,0.67,,3.85,308348
281,Clifton,1868,3205,3,2,1,3,21,8.48,5.7,5.27,500330
282,NayaNazimabad,2197,5210,5,4,3,2,13,3.84,5.78,8.58,640986
283,PECHS,2752,4329,4,3,1,1,1,2.86,4.92,,588544
284,PECHS,1057,2363,2,1,2,0,19,12.13,7.47,1.0,237645
285,FB Area,3080,9076,6,5,1,0,12,0.53,6.19,6.74,530454
286,FB Area,629,1377,1,1,3,2,19,12.04,4.08,1.29,106517
287,FB Area,1709,4271,3,2,3,1,11,16.08,8.31,6.77,315897
288,FB Area,2153,3733,4,3,2,1,80,25.67,6.83,4.36,329593
289,PECHS,1969,5076,3,2,3,1,67,1.28,8.65,1.0,365407
290,NorthNazimabad,1426,3772,3,1,2,0,13,3.14,5.4,6.05,437892
291,Clifton,1675,4663,3,3,2,1,29,0.2,,5.52,450059
292,Clifton,1504,2933,2,2,3,1,5,7.27,3.37,4.12,413011
293,Clifton,1446,4419,2,1,3,0,1,,9.66,5.51,447067
294,PECHS,2310,5168,4,3,3,0,17,5.45,7.05,5.36,538114
295,Clifton,2014,5759,3,3,1,1,15,9.86,7.86,3.15,532339
296,FB Area,1384,3593,2,1,2,1,12,13.96,5.6,,218144
297,Clifton,2340,3122,3,3,3,2,12,0.22,6.27,4.79,598213
298,PECHS,1984,3825,3,3,3,1,15,13.58,6.47,6.44,471653
299,PECHS,2288,5618,4,3,3,2,33,8.85,,4.84,554618
300,FB Area,2178,6748,3,2,2,1,2,7.52,8.34,4.53,421692
301,PECHS,1303,3712,2,1,3,2,10,5.5,7.88,5.42,296350
302,PECHS,1464,1821,2,1,1,0,1,5.72,8.32,6.76,363974
303,PECHS,2248,6176,4,3,2,0,4,1.94,,6.3,563563
304,FB Area,2166,3613,4,3,2,1,12,0.4,,8.28,344012
305,NayaNazimabad,1787,3073,5,4,2,0,29,4.59,8.78,1.81,493313
306,NorthNazimabad,1870,5038,3,2,2,2,1,1.71,5.85,6.33,547553
307,NorthNazimabad,2567,8574,4,2,3,0,35,0.87,8.09,4.4,564377
308,FB Area,1445,4665,3,2,2,2,80,3.29,10.0,3.32,230262
309,NayaNazimabad,2128,4059,3,3,2,3,10,6.3,,8.39,515672
310,PECHS,1679,5425,4,3,3,2,5,9.76,,7.36,298573
311,PECHS,1669,4580,3,2,1,0,9,1.84,7.82,3.28,372908
312,PECHS,2459,8120,4,4,3,0,6,21.78,5.42,2.09,647736
313,Clifton,2295,3597,4,3,3,1,9,9.41,5.13,4.94,624296
314,Clifton,2288,7354,5,5,3,2,22,38.43,6.38,,635603
315,PECHS,2583,5581,4,3,1,2,8,,7.37,5.24,659127
316,NorthNazimabad,1813,6035,4,3,3,3,12,0.75,,5.2,565937
317,Clifton,2209,5922,4,3,2,4,2,2.71,9.29,4.26,680863
318,PECHS,1614,2508,3,2,1,0,32,1.6,4.75,3.04,389796
319,NorthNazimabad,1994,2685,3,2,2,2,15,6.73,,1.8,510252
320,NayaNazimabad,1722,4780,3,2,2,1,29,27.91,6.37,,255392
321,NayaNazimabad,1858,2493,2,1,1,2,2,12.27,7.04,4.12,515638
322,FB Area,2157,3960,4,3,3,1,19,5.74,6.57,3.39,329284
323,NorthNazimabad,1309,2965,1,1,3,1,11,14.85,,3.29,373794
324,PECHS,3055,7099,5,4,2,0,23,0.43,,6.34,553243
325,NorthNazimabad,1196,2157,2,1,2,4,6,6.99,9.96,5.16,315234
326,PECHS,1071,1447,1,1,1,1,34,9.36,9.0,5.86,278098
327,PECHS,2495,3923,4,3,3,0,20,2.07,3.81,5.32,551850
328,NorthNazimabad,2275,3119,4,3,1,1,8,3.16,6.57,,587359
329,NayaNazimabad,2174,7521,3,2,3,1,25,5.12,,4.97,549244
330,FB Area,2177,4944,3,1,2,0,50,8.73,7.56,5.77,308226
331,FB Area,1793,2727,3,3,2,0,19,2.02,6.95,6.16,324888
332,NorthNazimabad,1262,2173,3,2,2,0,40,0.2,,5.56,283682
333,PECHS,1845,6382,4,3,2,0,37,,6.91,6.03,422533
334,NorthNazimabad,1394,3404,2,1,1,1,2,14.16,10.0,3.45,425240
335,PECHS,2385,3057,4,3,3,2,4,0.79,7.13,4.1,544102
336,PECHS,1712,3588,3,3,2,3,42,0.21,8.47,5.04,367304
337,NayaNazimabad,1305,2188,1,1,1,0,2,1.69,7.55,5.78,341962
338,Clifton,1607,2655,3,2,2,0,6,1.26,10.0,2.16,496348
339,PECHS,2048,6918,3,2,1,2,15,6.94,7.48,4.79,408097
340,Clifton,1462,3643,3,3,3,0,8,1.85,6.5,5.03,451210
341,NayaNazimabad,1307,3272,2,1,1,0,7,4.39,7.24,4.38,365916
342,FB Area,1946,3199,2,1,2,0,2,17.21,5.22,3.31,373274
343,NorthNazimabad,1947,4406,4,3,3,0,46,4.95,7.51,,509932
344,NayaNazimabad,1496,2317,2,2,2,0,17,3.62,5.54,2.38,326949
345,Clifton,1517,2396,2,2,1,0,11,3.89,4.82,6.15,447072
346,NayaNazimabad,1939,5681,4,3,2,1,3,1.93,5.84,4.95,500290
347,FB Area,931,2351,1,1,1,0,24,16.75,8.09,4.28,184797
348,NorthNazimabad,956,1702,2,1,3,0,16,10.49,6.82,2.54,249381
349,FB Area,1369,3563,2,1,2,1,1,19.3,7.43,3.52,295563
350,NorthNazimabad,1672,3601,3,3,3,1,4,0.58,7.16,6.59,460446
351,NorthNazimabad,1987,4352,3,3,1,0,1,16.08,,7.42,552261
352,FB Area,2685,4382,5,5,2,3,79,0.35,4.73,5.4,401330
353,Clifton,2315,4844,4,3,2,0,12,5.6,7.83,3.67,607290
354,NorthNazimabad,1704,2318,4,4,3,1,43,23.17,10.0,1.92,401579
355,FB Area,1789,2170,4,4,3,0,9,21.44,7.64,5.6,347329
356,PECHS,1198,3267,1,1,1,1,4,3.82,5.57,5.79,309324
357,NorthNazimabad,1789,3011,4,3,2,1,39,1.03,6.37,3.35,481527
358,PECHS,1627,2787,2,1,3,3,4,7.28,10.0,5.98,370606
359,NayaNazimabad,1994,2796,4,3,2,2,43,2.78,7.37,6.14,554015
360,NorthNazimabad,1304,3241,1,1,1,2,4,1.85,9.09,6.6,391235
361,FB Area,2112,2825,4,3,2,0,34,2.77,6.36,4.3,334022
362,FB Area,2720,7115,4,3,3,1,13,7.23,8.83,3.95,374915
