id,area_sqft,lot_size_sqft,bedrooms,stories,parking_spaces,house_age_years,distance_to_city_km,school_quality_index,crime_index,price,total_rooms,yard_size_sqft,space_per_room,area_FB Area,area_NayaNazimabad,area_NorthNazimabad,area_PECHS
73,1779,5628,4,1,2,38,5.2,8.69,8.27,446010.0,7,3849,222.375,0,0,0,1
74,2739,8366,4,2,2,4,1.8,4.89,1.59,734232.0,7,5627,342.375,0,0,0,0
75,400,594,1,3,2,18,3.6,6.952173913043478,9.57,65613.0,2,194,133.33333333333334,1,0,0,0
76,2293,3860,3,2,1,10,14.8,6.952173913043478,5.89,465849.0,4,1567,458.6,0,1,0,0
77,1852,5329,3,1,1,31,24.36,9.15,4.38,450875.0,5,3477,308.6666666666667,0,0,0,0
78,1621,2472,3,2,1,7,8.25,8.07,3.46,366922.0,5,851,270.1666666666667,0,0,0,1
79,1855,3182,3,1,0,21,3.1,6.952173913043478,5.74,409044.0,5,1327,309.1666666666667,0,1,0,0
80,607,1392,1,2,1,59,11.41,5.83,2.61,174649.0,2,785,202.33333333333334,0,0,1,0
81,1668,5001,4,3,0,10,1.04,7.18,3.61,334182.0,8,3333,185.33333333333334,1,0,0,0
82,2014,3425,3,2,0,7,4.1,10.0,4.0,417950.0,5,1411,335.6666666666667,0,0,0,1
83,2687,4799,5,2,1,16,22.77,8.38,1.15,574793.0,8,2112,298.55555555555554,0,0,1,0
84,1489,3167,2,3,1,41,1.99,7.06,4.61,289889.0,3,1678,372.25,0,0,0,1
85,1315,4311,2,3,1,11,3.33,6.952173913043478,7.0,348724.0,3,2996,328.75,0,0,0,1
86,1499,3564,3,3,1,1,16.44,7.04,1.1,436414.0,6,2065,214.14285714285714,0,0,0,1
87,2349,7314,4,1,1,1,9.83,7.33,5.36,601075.0,7,4965,293.625,0,0,1,0
88,1997,4934,3,2,1,1,20.95,7.97,3.29,498571.0,5,2937,332.8333333333333,0,0,0,1
89,1482,4736,3,3,0,6,1.95,6.952173913043478,4.82,440192.0,5,3254,247.0,0,0,1,0
90,2108,6641,5,3,0,12,5.25,6.952173913043478,8.91,563818.0,10,4533,191.63636363636363,0,0,1,0
91,1858,3021,3,3,1,3,0.33,6.59,9.57,417093.0,6,1163,265.42857142857144,0,1,0,0
92,2381,6716,4,1,1,2,19.09,5.25,6.07,543397.0,8,4335,264.55555555555554,0,0,0,0
93,1379,3638,2,3,0,2,9.14,3.630000000000001,7.51,411837.0,4,2259,275.8,0,0,0,0
94,1603,2825,2,2,0,12,19.38,4.83,4.35,337696.0,4,1222,320.6,0,0,1,0
95,1565,4167,2,1,0,80,4.0,6.952173913043478,5.28,290097.0,3,2602,391.25,0,0,0,1
96,922,1253,3,2,1,10,24.36,8.21,1.0,300356.0,5,331,153.66666666666666,0,0,1,0
97,1978,3706,2,1,1,33,0.2,6.952173913043478,8.2,234905.0,3,1728,494.5,1,0,0,0
98,1957,6456,4,1,1,38,14.12,7.92,4.98,582221.0,8,4499,217.44444444444446,0,0,0,1
99,1803,3406,2,1,0,14,1.79,9.04,7.51,296960.0,3,1603,450.75,1,0,0,0
100,1659,3469,4,2,1,19,0.4,6.952173913043478,4.01,356771.0,7,1810,207.375,1,0,0,0
101,951,2804,1,2,4,53,10.42,4.58,3.57,174820.0,2,1853,317.0,1,0,0,0
102,1548,2784,2,2,1,35,8.81,6.952173913043478,2.11,375268.0,3,1236,387.0,0,1,0,0
103,1594,4129,4,1,1,11,24.36,4.77,4.98,269905.0,7,2535,199.25,1,0,0,0
104,1319,2793,3,2,0,19,4.17,5.81,5.48,475547.0,5,1474,219.83333333333334,0,0,0,0
105,1703,3658,3,3,2,43,6.19,4.77,4.59,394296.0,6,1955,243.28571428571428,0,0,0,1
106,2042,3770,4,3,1,8,10.12,5.9,4.98,500963.0,7,1728,255.25,0,1,0,0
107,2932,7934,4,3,0,2,0.2,7.28,3.22,742447.0,7,5002,366.5,0,1,0,0
108,1905,3780,4,3,2,8,7.0,9.25,2.24,371991.0,8,1875,211.66666666666666,1,0,0,0
109,1955,5072,3,2,0,20,5.77,6.95,3.26,492970.0,6,3117,279.2857142857143,0,0,1,0
110,1755,6050,3,2,1,29,13.22,3.8,4.16,457672.0,4,4295,351.0,0,0,1,0
111,649,1356,1,3,1,55,22.35,6.952173913043478,7.67,81446.0,2,707,216.33333333333334,0,0,0,0
112,1784,3827,2,2,1,8,1.57,3.69,5.26,396425.0,3,2043,446.0,0,0,0,1
113,1836,3033,3,2,1,12,11.05,4.56,5.71,308350.0,5,1197,306.0,1,0,0,0
114,3278,5745,5,3,1,35,3.27,4.98,5.16,740065.0,9,2467,327.8,0,0,0,1
115,1685,2590,2,1,0,25,2.05,8.72,4.98,401882.0,3,905,421.25,0,0,0,0
116,1981,3379,3,2,1,28,8.82,6.51,2.23,470740.0,6,1398,283.0,0,0,1,0
117,1779,3277,3,3,1,1,5.27,6.952173913043478,4.7,418427.0,5,1498,296.5,0,0,0,1
118,1099,3696,2,1,0,8,1.57,6.952173913043478,3.3,204868.0,3,2597,274.75,1,0,0,0
119,2486,6834,2,1,1,29,1.54,4.37,4.48,380994.0,3,4348,621.5,1,0,0,0
120,2251,5257,4,3,1,7,8.75,6.952173913043478,2.57,509412.0,7,3006,281.375,0,0,0,1
121,2275,2786,3,2,0,7,5.02,4.71,7.5,478177.0,5,511,379.1666666666667,0,0,0,1
122,1254,2675,3,2,2,3,11.17,3.630000000000001,5.82,414080.0,6,1421,179.14285714285714,0,0,1,0
123,2642,7718,4,2,0,57,1.23,5.54,1.28,765237.0,7,5076,330.25,0,0,1,0
124,959,3166,1,3,2,30,23.78,6.65,3.77,235497.0,2,2207,319.6666666666667,0,0,0,1
125,2152,5582,3,1,0,53,0.2,5.95,8.11,466449.0,5,3430,358.6666666666667,0,0,0,1
126,3114,5054,5,3,1,69,24.36,6.57,4.39,582191.0,9,1940,311.4,0,0,0,1
127,1206,1766,3,3,3,7,1.04,5.4,4.98,395301.0,5,560,201.0,0,1,0,0
128,1460,2035,2,2,0,14,5.59,6.952173913043478,4.98,340962.0,4,575,292.0,0,0,0,1
129,1860,6224,3,1,2,6,7.29,5.96,3.66,517397.0,6,4364,265.7142857142857,0,0,0,1
130,1498,5129,4,2,0,13,4.24,5.82,5.15,394102.0,7,3631,187.25,0,0,1,0
131,870,2942,1,1,1,57,4.97,7.92,3.51,178693.0,2,2072,290.0,0,0,0,1
132,1841,2881,3,1,0,7,2.65,6.952173913043478,3.8,440966.0,5,1040,306.8333333333333,0,0,0,1
133,1163,2983,1,2,0,13,7.18,6.5,7.19,233536.0,2,1820,387.6666666666667,0,0,1,0
134,2084,2860,2,3,1,4,10.17,7.71,2.75,350663.0,3,776,521.0,1,0,0,0
135,1248,2902,1,3,1,27,1.1,7.81,4.98,227924.0,2,1654,416.0,0,0,0,1
136,2730,7922,4,2,0,4,18.57,6.952173913043478,5.81,662724.0,7,5192,341.25,0,1,0,0
137,1330,2760,3,2,2,10,11.56,6.952173913043478,6.11,387577.0,5,1430,221.66666666666666,0,0,0,0
138,1607,3647,3,2,0,3,0.34,7.48,3.92,433293.0,5,2040,267.8333333333333,0,0,0,1
139,2288,6507,2,3,3,33,0.76,8.58,7.91,550482.0,4,4219,457.6,0,0,0,1
140,1061,1742,1,1,1,4,2.75,6.952173913043478,6.47,177865.0,2,681,353.6666666666667,1,0,0,0
141,1936,5663,4,3,0,40,11.19,7.27,4.54,393104.0,6,3727,276.57142857142856,0,0,0,1
142,2584,4203,4,2,1,43,7.52,8.95,3.42,605566.0,7,1619,323.0,0,0,0,1
143,836,1125,2,3,0,11,4.65,5.77,4.45,213029.0,3,289,209.0,0,0,1,0
144,1911,3495,4,3,0,45,4.04,3.99,3.58,279725.0,7,1584,238.875,1,0,0,0
145,1956,5562,3,1,1,15,8.68,4.87,5.34,359999.0,6,3606,279.42857142857144,1,0,0,0
146,2269,7617,4,3,0,59,2.57,7.4,3.36,377543.0,7,5348,283.625,1,0,0,0
147,1058,1819,2,1,0,21,4.97,7.97,6.54,232114.0,3,761,264.5,0,0,0,1
149,2113,7179,4,3,1,6,15.75,6.08,4.97,478080.0,7,5066,264.125,0,0,1,0
150,1978,3485,4,2,0,5,7.15,9.3,4.98,627258.0,7,1507,247.25,0,0,1,0
151,1950,5332,4,3,0,6,16.92,6.92,7.04,517038.0,7,3382,243.75,0,0,1,0
152,2008,4281,4,1,0,20,11.57,6.89,6.01,460663.0,7,2273,251.0,0,0,1,0
153,1392,1723,2,2,2,14,19.07,6.952173913043478,5.15,374414.0,3,331,348.0,0,0,1,0
154,1939,4410,4,2,0,1,5.37,6.952173913043478,2.72,477704.0,8,2471,215.44444444444446,0,0,0,0
155,1976,5061,3,3,1,11,0.24,7.52,6.52,569259.0,5,3085,329.3333333333333,0,0,0,0
156,1371,1674,4,2,0,80,14.27,4.37,3.9,208189.0,6,303,195.85714285714286,1,0,0,0
157,2919,8249,4,2,1,80,6.08,7.18,7.17,617018.0,8,5330,324.3333333333333,0,0,0,1
158,2084,3678,3,2,1,43,0.35,10.0,5.07,504464.0,5,1594,347.3333333333333,0,1,0,0
159,1085,2454,1,2,2,64,0.2,6.952173913043478,4.89,313094.0,2,1369,361.6666666666667,0,0,1,0
160,2194,4355,4,2,2,23,1.96,6.39,4.98,408789.0,7,2161,274.25,1,0,0,0
161,1215,1740,1,3,1,80,3.28,6.952173913043478,2.99,294038.0,2,525,405.0,0,0,1,0
162,2272,7575,5,3,1,17,5.77,6.952173913043478,6.83,487159.0,10,5303,206.54545454545453,0,0,0,1
163,2495,6497,5,2,1,7,6.39,3.630000000000001,3.27,630579.0,9,4002,249.5,0,0,1,0
164,1308,4548,2,3,1,52,14.42,3.630000000000001,5.08,189209.0,4,3240,261.6,0,0,0,1
165,2378,6460,3,1,0,1,2.36,6.14,4.98,556855.0,6,4082,339.7142857142857,0,0,0,1
166,2048,6690,2,1,1,12,4.29,6.952173913043478,4.25,417286.0,3,4642,512.0,0,0,1,0
167,2293,3404,3,1,0,6,0.38,6.38,5.05,375063.0,5,1111,382.1666666666667,1,0,0,0
169,1653,2292,2,2,3,6,13.61,9.19,7.6,488526.0,3,639,413.25,0,0,0,0
170,1348,4401,4,1,2,1,1.01,8.19,5.37,375466.0,7,3053,168.5,0,0,0,1
171,1266,3114,3,3,1,20,6.69,6.952173913043478,3.83,308079.0,6,1848,180.85714285714286,0,0,0,1
172,1311,2731,2,1,0,2,6.88,7.15,4.98,335349.0,3,1420,327.75,0,0,1,0
173,1754,4471,3,1,0,0,2.02,6.952173913043478,1.9,609522.0,6,2717,250.57142857142858,0,0,0,0
174,2005,4504,3,3,2,29,2.11,6.952173913043478,6.09,557612.0,5,2499,334.1666666666667,0,0,1,0
175,1966,3578,4,1,2,5,0.52,6.952173913043478,4.14,531158.0,7,1612,245.75,0,0,0,1
176,2296,3809,3,1,2,2,10.95,6.952173913043478,3.34,389281.0,5,1513,382.6666666666667,1,0,0,0
177,1808,2739,4,2,0,5,12.84,7.19,2.69,485905.0,7,931,226.0,0,0,1,0
178,2672,7103,4,3,0,10,2.24,6.44,6.15,667380.0,7,4431,334.0,0,0,0,1
179,1641,4997,3,2,0,3,18.51,8.23,9.57,474195.0,5,3356,273.5,0,0,1,0
180,3427,7992,5,3,1,13,16.42,7.41,6.89,700077.0,9,4565,342.7,0,0,0,1
181,2175,6157,3,2,1,1,13.25,6.84,7.45,422839.0,5,3982,362.5,0,0,0,1
182,1286,2796,2,1,0,65,2.7,8.27,8.86,256485.0,3,1510,321.5,0,0,0,0
183,1157,3686,1,2,3,27,9.03,9.54,1.52,219509.0,2,2529,385.6666666666667,1,0,0,0
184,2089,4062,4,2,0,13,8.05,5.42,5.58,534014.0,8,1973,232.11111111111111,0,0,1,0
185,1666,3062,2,2,1,33,1.29,6.02,2.16,353154.0,3,1396,416.5,0,0,1,0
186,2228,4553,3,3,0,3,12.72,3.630000000000001,8.83,456360.0,6,2325,318.2857142857143,0,0,0,1
187,2084,4557,4,1,0,3,8.65,6.952173913043478,4.98,614322.0,8,2473,231.55555555555554,0,0,1,0
188,1756,2519,4,1,1,10,1.19,5.87,5.49,271074.0,8,763,195.11111111111111,1,0,0,0
189,1292,3387,3,3,2,69,12.55,6.952173913043478,4.98,251255.0,5,2095,215.33333333333334,0,0,0,1
190,891,2735,1,1,2,0,8.02,6.952173913043478,6.22,283930.0,2,1844,297.0,0,0,1,0
191,1532,3371,3,2,1,3,0.93,5.42,5.6,355268.0,6,1839,218.85714285714286,0,0,0,1
192,2314,7507,4,1,0,31,1.7,5.57,3.83,578084.0,7,5193,289.25,0,0,0,1
193,1928,5404,3,2,1,10,4.21,7.74,6.31,429703.0,6,3476,275.42857142857144,0,1,0,0
194,1053,2434,2,1,2,3,24.36,10.0,2.47,247579.0,3,1381,263.25,1,0,0,0
195,1904,3831,3,3,1,43,8.24,7.32,4.28,335161.0,6,1927,272.0,0,0,0,1
196,2031,5796,3,1,1,29,12.61,5.77,7.73,338810.0,5,3765,338.5,1,0,0,0
197,1270,3871,4,2,1,14,5.54,6.76,4.61,252382.0,8,2601,141.11111111111111,1,0,0,0
198,1892,2280,3,1,0,80,7.48,8.2,3.3,532357.0,5,388,315.3333333333333,0,0,1,0
199,1835,3646,3,2,1,24,1.75,6.952173913043478,8.76,369443.0,5,1811,305.8333333333333,0,0,0,1
201,2015,4248,3,3,0,1,6.06,6.952173913043478,6.55,406775.0,4,2233,403.0,1,0,0,0
202,2136,3028,3,3,1,34,2.6,6.952173913043478,4.98,516443.0,5,892,356.0,0,0,1,0
203,2450,6838,3,1,1,10,11.64,5.74,4.12,501909.0,5,4388,408.3333333333333,0,1,0,0
204,2432,4586,4,3,1,1,5.18,7.32,5.61,494495.0,7,2154,304.0,0,0,0,1
205,973,1258,1,1,0,1,8.67,8.12,5.88,260595.0,2,285,324.3333333333333,0,0,0,1
206,1237,4238,1,1,1,26,0.68,6.952173913043478,6.37,324226.0,2,3001,412.3333333333333,0,0,0,1
207,2109,7009,5,1,0,11,2.51,4.59,6.7,662292.0,9,4900,210.9,0,0,1,0
208,2108,6163,4,2,0,6,2.36,9.4,8.11,467246.0,7,4055,263.5,0,0,0,1
209,2109,6061,5,3,1,1,2.21,9.68,1.0,623018.0,9,3952,210.9,0,0,1,0
210,3427,7485,5,2,0,35,4.26,6.952173913043478,6.32,682725.0,9,4058,342.7,0,0,0,1
211,2143,6158,5,3,0,3,9.6,8.24,1.0,716685.0,10,4015,194.8181818181818,0,0,1,0
212,2481,8480,4,1,1,39,8.44,6.952173913043478,5.29,541382.0,6,5999,354.42857142857144,0,0,0,1
213,2372,7058,5,2,1,4,2.74,8.4,4.71,720585.0,9,4686,237.2,0,0,1,0
214,2191,4333,4,3,2,24,5.98,6.952173913043478,4.98,500579.0,7,2142,273.875,0,1,0,0
215,1611,4687,3,1,2,80,0.47,7.12,6.44,272079.0,6,3076,230.14285714285714,0,0,0,1
216,2255,3739,4,1,1,4,3.84,8.11,6.39,391825.0,7,1484,281.875,1,0,0,0
217,1336,4479,2,1,2,41,9.69,8.56,4.55,352613.0,3,3143,334.0,0,0,0,1
218,1658,4496,2,1,1,35,2.35,5.82,7.79,277708.0,3,2838,414.5,1,0,0,0
219,1509,1893,2,1,1,16,7.89,4.63,4.98,313727.0,4,384,301.8,0,0,0,1
220,1849,3216,2,1,2,2,8.1,6.952173913043478,3.61,355568.0,3,1367,462.25,1,0,0,0
221,3189,6944,5,2,0,17,3.52,5.63,7.59,780912.0,9,3755,318.9,0,0,1,0
222,680,1011,1,2,0,2,4.23,6.952173913043478,5.8,205911.0,2,331,226.66666666666666,0,0,0,1
223,2212,6301,3,1,0,13,6.02,9.37,4.43,420154.0,6,4089,316.0,1,0,0,0
224,832,2792,2,1,1,19,0.74,6.78,5.06,282383.0,3,1960,208.0,0,1,0,0
225,1517,2002,3,2,0,36,3.9,6.952173913043478,2.19,444609.0,5,485,252.83333333333334,0,0,1,0
226,2453,6572,4,1,0,31,7.33,4.95,7.8,412121.0,7,4119,306.625,1,0,0,0
227,1839,2511,4,3,1,21,17.75,6.952173913043478,4.98,511381.0,7,672,229.875,0,0,0,0
228,1153,2518,2,2,1,4,11.77,4.4,3.67,246063.0,3,1365,288.25,0,0,0,1
229,1371,3782,2,1,0,56,18.95,5.96,5.27,232871.0,3,2411,342.75,0,0,0,1
230,2208,3513,4,2,0,20,3.99,5.84,5.18,568609.0,8,1305,245.33333333333334,0,0,0,0
231,1362,4312,1,1,2,17,6.72,5.53,3.83,266905.0,2,2950,454.0,0,0,0,1
232,1930,2354,3,3,1,15,6.39,4.99,5.3,220998.0,5,424,321.6666666666667,1,0,0,0
233,1827,5941,4,2,0,6,7.97,6.27,4.53,559095.0,7,4114,228.375,0,0,1,0
234,1409,3895,3,3,1,7,23.88,4.59,4.38,244844.0,5,2486,234.83333333333334,1,0,0,0
235,3086,6352,5,1,2,34,3.05,6.95,5.73,653689.0,10,3266,280.54545454545456,0,0,0,1
236,2180,4547,2,2,0,7,24.36,6.66,4.88,427870.0,4,2367,436.0,0,0,0,1
237,585,1114,1,2,0,0,24.36,6.952173913043478,9.28,157803.0,2,529,195.0,0,0,1,0
238,1912,4282,4,1,3,11,3.1,8.39,5.1,383347.0,8,2370,212.44444444444446,1,0,0,0
239,1403,1969,2,1,0,24,5.08,7.4,3.98,308704.0,3,566,350.75,0,0,0,1
240,2311,7232,5,3,1,12,9.31,6.21,7.63,515989.0,9,4921,231.1,0,0,1,0
241,1324,2368,1,3,0,18,1.99,8.54,6.77,398661.0,2,1044,441.3333333333333,0,0,1,0
242,1731,5438,3,2,2,28,9.71,7.49,4.6,374864.0,5,3707,288.5,0,0,0,1
243,2103,6514,5,2,0,5,4.95,6.71,2.92,616104.0,10,4411,191.1818181818182,0,0,1,0
244,2319,4988,4,1,1,22,5.9,3.98,4.39,605689.0,7,2669,289.875,0,0,1,0
245,1080,2564,1,3,1,25,21.22,7.58,6.6,207827.0,2,1484,360.0,1,0,0,0
246,1599,4025,5,3,0,25,15.45,6.53,5.58,496297.0,9,2426,159.9,0,0,0,0
247,1515,2575,4,2,2,66,24.36,6.952173913043478,5.63,316501.0,7,1060,189.375,0,0,0,1
248,1408,3788,2,1,0,16,0.2,4.52,3.42,278957.0,3,2380,352.0,1,0,0,0
249,2859,5738,5,3,2,12,3.74,6.952173913043478,7.21,720310.0,9,2879,285.9,0,0,0,1
250,2043,3378,4,3,2,7,1.9,7.64,4.07,447119.0,7,1335,255.375,0,0,0,1
251,1043,2503,2,2,0,24,8.15,4.05,3.84,225273.0,4,1460,208.6,0,0,0,1
252,2351,5022,3,2,0,26,4.82,7.29,7.79,551653.0,5,2671,391.8333333333333,0,0,0,1
253,3073,7109,5,1,1,2,6.05,8.01,2.78,777471.0,9,4036,307.3,0,0,1,0
254,2419,8304,5,1,1,6,6.09,9.58,4.98,709695.0,8,5885,268.77777777777777,0,0,1,0
255,888,2412,2,2,1,68,5.58,6.91,5.1,215838.0,3,1524,222.0,0,0,1,0
256,1509,4144,3,1,0,78,4.45,7.57,3.78,279992.0,5,2635,251.5,0,0,0,1
257,2560,3315,4,1,0,16,0.2,7.33,4.38,610271.0,7,755,320.0,0,1,0,0
258,1375,4385,2,2,1,2,6.63,6.952173913043478,3.73,313296.0,4,3010,275.0,0,0,0,1
259,2066,6804,2,3,0,26,24.36,6.952173913043478,4.8,491422.0,3,4738,516.5,0,0,0,1
260,2265,3278,4,3,2,37,2.55,6.952173913043478,3.22,474057.0,7,1013,283.125,0,0,0,1
261,1244,2308,2,2,1,3,8.83,6.952173913043478,7.69,307426.0,4,1064,248.8,0,0,0,1
262,1764,5127,2,2,1,7,5.23,6.952173913043478,4.4,429255.0,3,3363,441.0,0,0,0,0
264,1185,2818,2,3,1,34,7.02,6.44,4.98,358647.0,4,1633,237.0,0,0,1,0
265,1648,3576,2,2,0,49,5.65,7.73,3.46,349855.0,4,1928,329.6,0,0,0,1
266,1051,2666,1,3,0,16,0.73,10.0,4.98,349165.0,2,1615,350.3333333333333,0,0,0,0
267,2779,5747,4,3,1,50,14.94,7.46,6.69,691256.0,7,2968,347.375,0,0,1,0
